,percentage,n_eval,returns
25,0.6,1,"[-376.6319274902344, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239]"
26,0.6,2,"[-0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239]"
27,0.6,3,"[-359.0486145019531, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239]"
28,0.7,0,"[-370.7516174316406, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239]"
29,0.7,1,"[-376.6319274902344, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239]"
30,0.7,2,"[-327.9212341308594, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, 3.6998343467712402, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, 3.6616716384887695, 3.6616716384887695, 3.6616716384887695, 3.6616716384887695, 3.6616716384887695, 3.6616716384887695]"
31,0.7,3,"[-359.6278991699219, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239]"
32,0.8,0,"[-0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, 1.5165607929229736, -0.07384046167135239, -0.07384046167135239, 1.5165607929229736, 1.5165607929229736, 1.5165607929229736, 1.5165607929229736, 1.5165607929229736, 1.5165607929229736, 1.5165607929229736, 1.5165607929229736, 1.5165607929229736]"
33,0.8,1,"[-370.7516174316406, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239]"
34,0.8,2,"[-376.6319274902344, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239]"
35,0.8,3,"[-376.6319274902344, -0.07384046167135239, -0.07384046167135239, 3.7383830547332764, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, 3.7383830547332764, 3.7383830547332764, 3.7383830547332764, 3.7383830547332764, 3.7383830547332764, 3.7383830547332764, 3.7383830547332764]"
36,0.9,0,"[-11.77682876586914, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239]"
